gp_low,grp_low,gp_high,grp_high,original_selectivity,plan_rows,calculated_ratio
0.213,0.077,0.992,0.857,0.228596527,473011,0.22792854871196863
0.267,0.309,0.465,0.528,0.083619442,204608,0.09859391112438923
0.423,0.279,0.81,0.679,0.019463113,39938,0.01924481751684126
0.23,0.356,0.472,0.48,0.087039256,233782,0.11265190867650318
0.0,0.0,0.617,0.897,0.998591983,2064359,0.9947471642107495
0.008,0.294,0.719,0.678,0.985060178,2015823,0.9713592513709126
0.199,0.155,0.528,0.682,0.30006857,623789,0.30058354133939846
0.231,0.047,0.473,0.917,0.166822069,345461,0.16646637047887974
0.162,0.263,0.487,0.574,0.399341962,847275,0.4082741439626842
0.0,0.141,0.751,0.797,0.987215572,2043894,0.984885749255515
0.198,0.259,0.855,0.997,0.314807453,651626,0.3139972822682459
0.0,0.44,0.85,0.558,0.674908048,1405430,0.6772308048148183
0.097,0.324,0.623,0.641,0.937327341,1912962,0.9217938957046345
0.0,0.175,0.847,0.782,0.987283515,2046585,0.9861824542466968
0.0,0.35,0.689,0.533,0.893110691,1850945,0.8919099293582491
0.073,0.153,0.651,0.92,0.986583843,2018347,0.9725754845176026
0.13,0.134,0.593,0.834,0.49887508,1025718,0.49425999633780826
0.081,0.194,0.514,0.686,0.979188622,2009111,0.9681249578366085
0.172,0.326,0.854,0.91,0.418634011,862334,0.4155305841195802
0.0,0.098,0.763,0.866,0.987348085,2045248,0.9855381976234303
0.179,0.138,0.359,0.745,0.363724239,748675,0.3607620249992772
0.169,0.126,0.466,0.71,0.409426968,846395,0.40785010071027245
0.0,0.144,0.583,0.692,0.983551451,2036340,0.981245723427426
0.15,0.135,0.57,0.83,0.451345591,928788,0.447552595819319
0.139,0.206,0.4,0.676,0.447561967,925087,0.44576920482252824
0.114,0.092,0.611,0.744,0.619990083,1281581,0.6175520175785203
0.143,0.0,0.502,0.908,0.460031254,961793,0.46345662712142094
0.297,0.165,0.401,0.671,0.059750614,121537,0.0585647099640527
0.149,0.419,0.749,0.835,0.369260415,718486,0.3462149321048929
0.158,0.0,0.536,0.914,0.434988597,907931,0.43750228886982834
0.032,0.128,0.694,0.708,0.985961752,2017169,0.9720078448001697
0.0,0.41,0.838,0.427,0.232042362,478952,0.23079132253308018
0.061,0.0,0.669,0.933,0.986801166,2042251,0.9840940412285689
0.0,0.288,0.739,0.623,0.978531354,2025373,0.9759610843942446
0.0,0.114,0.747,0.856,0.987300862,2044755,0.9853006370286133
0.0,0.432,0.785,0.471,0.37412005,777633,0.37471593920761737
0.362,0.304,0.418,0.653,0.023041461,47941,0.023101201777126722
0.0,0.094,0.756,0.817,0.987278214,2044395,0.9851271647889903
0.061,0.21,0.664,0.681,0.984793223,2014409,0.97067789096306
0.035,0.386,0.66,0.516,0.83625851,1717251,0.8274871582355946
0.062,0.381,0.656,0.584,0.963133276,1971248,0.9498800150342608
0.066,0.414,0.661,0.557,0.93230098,1910840,0.9207713732255236
0.254,0.0,0.659,0.888,0.137271059,281779,0.13578009502423793
0.1,0.318,0.622,0.647,0.904130039,1851709,0.8922780760001157
0.0,0.176,0.895,0.807,0.987381334,2048496,0.9871033027186955
0.033,0.025,0.661,0.878,0.986706719,2018654,0.9727234177886145
0.0,0.157,0.645,0.726,0.985812855,2039402,0.982721201198886
0.274,0.0,0.275,0.849,0.001240809,3029,0.0014595761494945211
0.249,0.357,0.478,0.479,0.068238711,185785,0.08952372232876844
0.325,0.138,0.404,0.743,0.038227036,76623,0.036922120601755926
0.078,0.174,0.624,0.727,0.98552759,2015344,0.9711284369187475
0.56,0.0,0.607,0.916,0.001911569,2043,0.0009844549598604512
