50,1.053368,1.55648,2.466258,2.717451
200,1.011923,1.254854,1.523607,1.678575
500,1.002374,1.115224,1.409268,1.618996
1000,1.001511,1.069974,1.206607,1.227857
2000,1.001021,1.043333,1.083889,1.148052
